# M9 scripted-input scenario: a spawn-to-exit progression walk in Surface
# Tension.
#
# Project-authored; no bytes here come from any game installation (see
# docs/CLEAN_ROOM.md). Run against "c2a5" (Surface Tension, per
# ohl_campaign::CHAPTERS's own cited table) by xtask/src/combat_smoke.rs,
# with `--follow-level-change` so a `trigger_changelevel` this walk
# reaches is actually followed rather than only logged as "not followed".
#
# Route, in words only (no entity name, path or coordinate from any
# payload): from the player's spawn point, advance forward through a long
# sequence of turns, opening a door along the way with a `use` press once
# it is within reach, then continue forward through a further sequence of
# turns and waits until a level change fires; then wait out the
# transition.
#
# Technique: an autopilot was flown over this map's own collision hulls,
# pressing `use` whenever a usable brush entity came within
# ohl_engine::USE_RADIUS, and the per-tick inputs it applied were
# recorded and merged into the whole/fractional-degree turns below,
# matching the technique documented in
# xtask/smoke-scenarios/reach_level_change_anomalous_materials.txt. Runs
# whose per-tick turn is not bit-for-bit identical to its neighbor are
# kept as their own single-tick line rather than merged, which is why
# many lines below carry small fractional-degree turns. The run is
# deterministic, so replaying these inputs reproduces the same route
# every time.
#
# Expected fixed log lines, asserted by the harness rather than parsed
# from this file:
#   present: "Scripted input loaded.", "Scripted input finished.",
#            "The player moved from the spawn point.",
#            "The player opened a door.",
#            "A level change was followed."
#   absent:  "The player is inside solid geometry." (this scenario's own
#            regression guard for the PR #91 class of bug)
#            plus every other fixed line
1 forward look 0.000000000 6.000000000
63 forward look 0.000000000 -378.000000000
1 forward look 0.000000000 -5.948272705
1 forward look 0.000000000 -4.426879883
1 forward look 0.000000000 -4.661590576
1 forward look 0.000000000 -2.440887451
1 forward look 0.000000000 -5.154724121
1 forward look 0.000000000 -5.588897705
1 forward look 0.000000000 -2.988830566
2 forward look 0.000000000 -12.000000000
1 forward look 0.000000000 -5.732543945
19 forward look 0.000000000 -114.000000000
1 forward use look 0.000000000 -6.000000000
30 forward look 0.000000000 -180.000000000
1 forward look 0.000000000 -3.896484137
1 forward look 0.000000000 -5.652740479
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.180359125
56 forward look 0.000000000 -336.000000000
1 forward look 0.000000000 -3.383331537
2 forward look 0.000000000 -12.000000000
1 forward look 0.000000000 -4.944335938
49 forward look 0.000000000 -294.000000000
1 forward look 0.000000000 -5.979797363
1 forward look 0.000000000 -2.856933594
1 forward look 0.000000000 -5.973449707
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.848205566
53 forward look 0.000000000 -318.000000000
1 forward look 0.000000000 -5.431488037
1 forward look 0.000000000 -5.776489258
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.314453125
56 forward look 0.000000000 -336.000000000
1 forward look 0.000000000 -4.848999023
2 forward look 0.000000000 -12.000000000
1 forward look 0.000000000 -4.422637939
49 forward look 0.000000000 -294.000000000
1 forward look 0.000000000 -5.656375885
1 forward look 0.000000000 -2.257692337
1 forward look 0.000000000 -4.628092766
1 forward look 0.000000000 -4.845480919
1 forward look 0.000000000 -2.528685093
1 forward look 0.000000000 -5.335084915
1 forward look 0.000000000 -5.818593025
1 forward look 0.000000000 -3.132843256
51 forward look 0.000000000 -306.000000000
1 forward look 0.000000000 -5.985099792
1 forward look 0.000000000 -5.309913635
1 forward look 0.000000000 -2.748050690
1 forward look 0.000000000 -5.742008209
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.461700678
39 forward look 0.000000000 -234.000000000
1 forward use look 0.000000000 -6.000000000
13 forward look 0.000000000 -78.000000000
1 forward look 0.000000000 -4.704914093
1 forward look 0.000000000 -5.720218658
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.254531860
53 forward look 0.000000000 -318.000000000
1 forward look 0.000000000 -4.988182068
1 forward look 0.000000000 -4.485649109
1 forward look 0.000000000 -4.623641968
1 forward look 0.000000000 -2.382961273
1 forward look 0.000000000 -4.959815979
1 forward look 0.000000000 -5.307586670
1 forward look 0.000000000 -2.818294525
2 forward look 0.000000000 -12.000000000
1 forward look 0.000000000 -4.508922577
538 forward look 0.000000000 -3228.000000000
1 forward look 0.000000000 -5.953205109
1 forward look 0.000000000 -2.328002930
1 forward look 0.000000000 -4.778747559
1 forward look 0.000000000 -5.012693405
1 forward look 0.000000000 -2.619449615
1 forward look 0.000000000 -5.533874512
1 forward look 0.000000000 -6.000000000
1 forward look 0.000000000 -3.311677933
51 forward look 0.000000000 -306.000000000
1 forward look 0.000000000 -5.395519257
1 forward look 0.000000000 -5.423450470
1 forward look 0.000000000 -2.817523956
